mass,RVT
X111.044_2.768,1
X172.134_2.343,1
X174.602_2.709,1
X175.148_2.71,1
X198.15_2.471,1
X200.165_3.207,1
X216.16_2.471,1
X228.196_2.71,1
X230.176_2.586,1
X242.212_2.78,1
X249.112_2.768,1
X250.178_2.71,1
X253.009_0.331,1
X256.227_2.847,1
X258.207_2.775,1
X268.104_0.302,1
X272.222_2.957,1
X278.248_3.1,1
X280.264_3.159,1
X282.28_3.246,1
X296.259_2.971,1
X306.279_2.989,1
X306.279_3.212,1
X308.295_3.285,1
X334.311_3.093,1
X334.311_3.335,1
X352.321_3.187,1
X352.357_3.617,1
X368.316_2.962,1
X369.17_2.767,1
X399.394_3.159,1
X399.395_3.152,1
X400.342_2.89,1
X416.337_2.79,1
X430.223_2.768,1
X489.228_2.768,1
X506.255_3.172,1
X530.289_2.929,1
X599.241_2.765,1
X776.148_2.398,1
X776.253_2.398,1
X776.411_2.398,1
X792.329_2.764,1
X801.313_2.768,1
X811.309_2.773,1
X811.31_2.767,1
X819.211_2.398,1
X819.322_2.398,1
X137.046_0.35,1
X269.088_0.35,1
