mass,DPI_142
X105.07_2.767,1
X111.044_2.768,1
X142.035_0.315,1
X150.059_0.3,1
X198.149_3.205,1
X214.181_2.634,1
X228.196_2.71,1
X236.163_2.635,1
X249.112_2.768,1
X256.227_2.847,1
X267.123_2.767,1
X268.104_0.302,1
X278.186_2.23,1
X278.248_3.1,1
X280.264_3.159,1
X281.102_2.768,1
X285.133_2.768,1
X295.227_3.017,1
X296.259_2.971,1
X300.199_2.264,1
X303.648_2.884,1
X306.279_3.212,1
X308.295_3.045,1
X327.232_3.01,1
X333.063_2.524,1
X334.311_3.093,1
X369.17_2.767,1
X376.319_3.155,1
X387.181_2.767,1
X404.207_2.768,1
X406.154_2.765,1
X409.162_2.768,1
X415.14_2.768,1
X429.191_2.885,1
X446.218_2.884,1
X475.989_2.164,1
X476.24_2.164,1
X480.309_2.951,1
X486.098_2.765,1
X489.228_2.768,1
X502.294_2.879,1
X511.21_3.171,1
X520.341_2.89,1
X522.357_2.957,1
X528.311_2.928,1
X544.34_2.89,1
X568.341_2.887,1
X570.357_2.934,1
X590.322_2.887,1
X599.241_2.765,1
X604.362_2.948,1
X608.227_2.768,1
X637.306_3.32,1
X654.332_3.32,1
X724.218_2.769,1
X790.38_2.768,1
X792.329_2.764,1
X795.335_2.768,1
X801.313_2.768,1
X801.815_2.767,1
X826.265_2.769,1
X137.046_0.35,1
X269.088_0.35,1
