filename,X137.046_0.35,X482.361_2.958
LA_50DPI,0.066789326,0.387989552
LA_75DPI,0.321030403,0.387989552
LA_142DPI,0.066789326,0.646058266
RA_50DPI,0.461848066,1
RA_75DPI,0.083300538,1
RA_142DPI,0.083300538,1
LVT_50DPI,0.009560259,1
LVT_75DPI,0.079114221,1
LVT_142DPI,0.605896046,1
LVB_50DPI,0.002628971,0.943534845
LVB_75DPI,0.002308928,0.018449811
LVB_142DPI,0.002308928,0.943534845
RVT_50DPI,0.019014761,0.392602256
RVT_75DPI,0.349431239,0.057645171
RVT_142DPI,5.58E-05,0.118060935
RVB_50DPI,0.002073944,0.55484324
RVB_75DPI,0.125393857,0.04476509
RVB_142DPI,0.0001692,NA
